id,mag,ra,dec
1,12.93,00:07:15.84,+27:42:29.1
2,14.17,00:07:17.11,+27:40:42.1
3,13.40,00:07:16.80,+08:18:05.9
7,13.84,00:08:20.96,-29:54:54.0
8,15.32,00:08:45.30,+23:50:20.0
10,12.49,00:08:34.54,-33:51:30.0
12,13.18,00:08:44.75,+04:36:45.1
14,12.44,00:08:46.40,+15:48:56.0
16,12.00,00:09:04.29,+27:43:45.9
17,13.52,00:11:06.55,-12:06:26.3
23,11.98,00:09:53.41,+25:55:25.6
24,11.52,00:09:56.54,-24:57:47.3
25,15.50,00:09:59.28,-57:01:15.0
40,11.89,00:13:01.03,+72:31:19.0
45,10.44,00:14:03.99,-23:10:55.5
46,11.68,00:14:09.86,+05:59:15.7
53,12.64,00:14:42.85,-60:19:43.5
55,8.54,00:14:53.60,-39:11:47.9
57,11.65,00:15:30.87,+17:19:42.7
59,12.45,00:15:25.13,-21:26:39.8
60,14.86,00:15:58.24,-00:18:12.7
63,12.53,00:17:45.52,+11:27:01.2
69,14.71,00:18:20.51,+30:02:23.9
70,14.50,00:18:22.54,+30:04:46.5
71,14.09,00:18:23.58,+30:03:47.7
72,13.56,00:18:28.37,+30:02:26.5
72,14.64,00:18:34.3,+30:02:11
78,13.72,00:20:25.79,+00:49:34.8
78,13.50,00:20:27.51,+00:50:00.8
80,12.30,00:21:10.85,+22:21:25.9
83,12.55,00:21:22.40,+22:26:01.0
87,14.26,00:21:14.27,-48:37:41.6
88,14.41,00:21:22.12,-48:38:24.6
89,13.49,00:21:24.36,-48:39:55.1
90,13.77,00:21:51.40,+22:24:00.0
92,13.19,00:21:31.70,-48:37:29.1
93,13.27,00:22:03.23,+22:24:29.1
95,12.61,00:22:13.54,+10:29:29.7
98,12.70,00:22:49.54,-45:16:08.4
99,13.78,00:23:59.39,+15:46:13.5
100,13.21,00:24:02.84,+16:29:11.0
101,12.84,00:23:54.61,-32:32:10.2
103,9.80,00:25:16.40,+61:19:24.5
104,4.09,00:24:05.36,-72:04:53.2
105,13.20,00:25:16.78,+12:53:01.9
109,13.74,00:26:14.64,+21:48:26.3
118,14.83,00:27:16.22,-01:46:48.5
119,15.70,00:26:57.61,-56:58:41.0
121,11.24,00:26:48.25,-71:32:08.4
125,12.34,00:28:50.19,+02:50:19.9
128,11.63,00:29:15.06,+02:51:50.6
129,6.50,00:29:58.19,+60:12:40.2
131,13.21,00:29:38.52,-33:15:35.1
133,9.40,00:31:16.96,+63:21:09.4
134,10.31,00:30:21.97,-33:14:38.5
137,12.79,00:30:58.10,+10:12:30.3
145,12.75,00:31:45.74,-05:09:09.5
146,9.10,00:33:03.94,+63:18:32.4
147,9.72,00:33:12.12,+48:30:31.5
148,12.16,00:34:15.50,-31:47:09.6
150,11.41,00:34:15.48,-27:48:12.9
151,11.66,00:34:02.79,-09:42:19.2
152,12.26,00:32:52.46,-73:07:13.4
157,13.11,00:34:46.76,-08:23:47.2
160,12.66,00:36:04.06,+23:57:28.4
163,12.74,00:35:59.83,-10:07:18.1
165,13.19,00:36:28.92,-10:06:22.2
169,13.10,00:36:51.60,+23:59:27.3
169,13.68,00:36:52.33,+23:59:05.9
171,12.25,00:37:21.53,-19:56:03.3
172,13.52,00:37:13.61,-22:35:13.3
176,13.01,00:35:57.87,-73:09:59.0
178,12.57,00:39:08.40,-14:10:22.2
179,13.21,00:37:46.28,-17:50:58.1
182,12.57,00:38:12.38,+02:43:42.8
183,12.74,00:38:29.39,+29:30:40.4
185,9.20,00:38:57.97,+48:20:14.6
188,8.10,00:47:27.53,+85:16:10.7
189,8.80,00:39:35.70,+61:05:40.1
192,12.64,00:39:13.43,+00:51:51.6
193,12.30,00:39:18.59,+03:19:52.0
194,12.13,00:39:18.42,+03:02:14.8
195,13.45,00:39:35.79,-09:11:40.3
196,13.49,00:39:17.84,+00:54:45.9
197,13.53,00:39:18.79,+00:53:30.9
200,12.65,00:39:34.88,+02:53:14.8
201,12.99,00:39:34.82,+00:51:35.6
204,12.96,00:39:44.27,+03:17:58.5
205,8.15,00:40:22.08,+41:41:07.1
210,11.12,00:40:35.02,-13:52:22.1
212,15.40,00:40:13.33,-56:09:10.9
214,12.21,00:41:28.03,+25:29:58.0
216,13.21,00:41:27.15,-21:02:43.6
217,12.10,00:41:33.89,-10:01:17.1
220,14.39,00:40:29.89,-73:24:14.3
221,8.13,00:42:41.83,+40:51:55.0
222,12.64,00:40:43.71,-73:23:08.5
224,3.44,00:42:44.35,+41:16:08.6
225,7.00,00:43:36.38,+61:46:01.0
227,12.16,00:42:36.83,-01:31:43.6
231,12.87,00:41:06.43,-73:21:08.7
235,13.55,00:42:52.81,-23:32:27.7
237,13.60,00:43:27.84,-00:07:29.7
238,12.51,00:43:25.75,-50:10:58.2
245,12.35,00:46:05.39,-01:43:24.2
246,10.90,00:47:03.36,-11:52:19.0
247,9.21,00:47:08.55,-20:45:37.4
251,12.60,00:47:54.03,+19:35:48.6
252,12.49,00:48:01.50,+27:37:25.1
253,11.11,00:47:33.12,-25:17:17.6
254,11.67,00:47:27.61,-31:25:18.3
255,11.93,00:47:47.31,-11:28:07.3
256,12.50,00:45:53.33,-73:30:24.6
